Compañia,Descripcion
SWAP ENERGIA,"Swap Energía ofrece tarifas de luz y gas personalizadas, asesoramiento y un software propio para optimizar costes en hogares y empresas."
ERES ENERGIA,La comercializadora Eres Energía contribuye al aprovechamiento de los excedentes en materia de autoconsumo y los almacena en una caja virtual.
FORTULUZ,"Fortuluz es una proveedora de energía verde y gas natural que permite calcular de forma online el ahorro en las facturas de sus clientes.
"
PEUSA,Peusa es una comercializadora de luz verde y de gas. Ofrece servicios de autoconsumo y movilidad sostenible para particulares y empresas.
ADURIZ ENERGIA,"Aduriz Energía es una comercializadora de electricidad 100 % renovable y de telecomunicaciones que opera en todo el territorio nacional. Apuesta por la innovación para aportar soluciones integrales a sus clientes. 
"
SOLELEC,Solelec es una comercializadora de electricidad renovable. Ofrece tarifas personalizadas y servicios de autoconsumo y movilidad sostenible.
LUMINA ENERGIA,Lúmina Energía es una comercializadora de luz verde con tarifas personalizadas. Ofrece soluciones de autoconsumo y eficiencia energética.
CREAENERGIA,CreaEnergia es una comercializadora de luz verde y gas natural con tarifas de energía a precio de coste. Ofrece soluciones de autoconsumo.
AB ENERGIA,"ab energía comercializa tarifas de luz y gas, además de instalaciones de autoconsumo, puntos de carga de vehículos eléctricos y aerotermia.
"
NABALIA ENERGIA,"Nabalia Energía comercializa todo tipo de tarifas de luz renovable y gas en España, Portugal e Italia. Ofrece también servicios de autoconsumo."
OPPIDUM ENERGIA,Oppidum Energía es una comercializadora de luz a precio de coste para particulares y empresas. También ofrece servicios de autoconsumo.
